scenario_family,scenario,baseline_scenario,unit_type,iter,coverage_estimator,mean,p10,median,p90
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,coverage_chao,0.943364457886325,0.8793333333333333,0.9941921497174557,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,coverage_turing,0.9206507439150698,0.8394736842105264,0.9494906621392191,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,coverage_zhanghuang,0.9422670906756058,0.8794838494838495,0.9907996861982571,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,coverage_chao,0.8809165551767177,0.763995427398283,0.9151220550086334,0.9896143381519078
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,coverage_turing,0.8652372216982294,0.7460526315789474,0.9090909090909091,0.9853610712577714
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,coverage_zhanghuang,0.8795315332667548,0.763995427398283,0.9148633064100917,0.9896138451829168
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,coverage_chao,0.8905603352908295,0.7923076923076924,0.9264102564102564,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,coverage_turing,0.8740113293181166,0.75,0.9112394957983193,0.9885038363171356
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,coverage_zhanghuang,0.8891903697813226,0.7765873015873016,0.9232416134590048,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,coverage_chao,0.8813459932831056,0.7782135627530363,0.9132410985784689,0.9896143381519078
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,coverage_turing,0.8655868234881327,0.75,0.9073756432246998,0.9853610712577714
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,coverage_zhanghuang,0.8799481746437519,0.7729166666666667,0.9129913876474407,0.9896138451829168
species_error_strict,species_baseline,species_baseline,species_units,1,coverage_chao,0.852733656036106,0.7002849002849003,0.9207575757575758,1
species_error_strict,species_baseline,species_baseline,species_units,1,coverage_turing,0.8251614823375534,0.6,0.9,0.9907258950142763
species_error_strict,species_baseline,species_baseline,species_units,1,coverage_zhanghuang,0.8540385156893147,0.7033068783068783,0.9256370480014979,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,coverage_chao,0.8379798763159676,0.6336348684210527,0.9083777424582398,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,coverage_turing,0.8109394773881781,0.6,0.8844444444444444,0.9802442528735632
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,coverage_zhanghuang,0.8395005724751327,0.6342301065162907,0.9103174603174603,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,2,coverage_chao,0.8270976905052551,0.5736139986139985,0.8946019189921629,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,2,coverage_turing,0.8019390853010179,0.5,0.8844444444444444,0.9828462887200466
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,2,coverage_zhanghuang,0.8274603431998129,0.5734848484848485,0.8947722085667333,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,3,coverage_chao,0.8405845109982472,0.6387968117408906,0.9013888888888889,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,3,coverage_turing,0.8147140878199088,0.6107692307692307,0.8708333333333333,0.9832442888725129
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,3,coverage_zhanghuang,0.8436033541043685,0.6408976275917064,0.9073934837092732,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,4,coverage_chao,0.8310296682768806,0.6238157894736842,0.8924162257495591,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,4,coverage_turing,0.8063124529449047,0.5700000000000001,0.8804761904761904,0.9830508474576272
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,4,coverage_zhanghuang,0.8324660682395794,0.625,0.8924674951070701,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,5,coverage_chao,0.8307557149469279,0.6610284331518451,0.9020158481365378,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,5,coverage_turing,0.8044800364706194,0.6,0.8844444444444444,0.9828462887200466
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,5,coverage_zhanghuang,0.8332157171834461,0.662807881773399,0.9073934837092732,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,6,coverage_chao,0.8423427538844398,0.6873931623931624,0.9073934837092732,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,6,coverage_turing,0.8146123648791973,0.6466666666666667,0.8775,0.9895250623096095
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,6,coverage_zhanghuang,0.8438851560791263,0.6944444444444444,0.9112135542880453,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,7,coverage_chao,0.8306286698100325,0.6336348684210527,0.9013888888888889,0.9933334009493286
