scenario_family,scenario,baseline_scenario,term,r2_mean,r2_sd,p_median,p_prop_lt_005,n_iter,n_valid
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,mos,0.012659404755727629,NA,0.55,0,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,p_h,0.0223144869655423,NA,0.13,0,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,t360_mean,0.025721389355296248,NA,0.09,0,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mos,0.027201948149764534,NA,0.02,1,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,p_h,0.022293489396586045,NA,0.05,0,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,t360_mean,0.014229281158692063,NA,0.545,0,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,mos,0.028286375370332704,NA,0.005,1,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,p_h,0.023855750041180356,NA,0.035,1,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,t360_mean,0.014219763569192169,NA,0.485,0,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mos,0.02670230141437631,NA,0.015,1,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,p_h,0.02229583340576122,NA,0.04,1,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,t360_mean,0.014234690513458156,NA,0.53,0,1,1
species_error_strict,species_baseline,species_baseline,mos,0.0218662171432256,NA,0.065,0,1,1
species_error_strict,species_baseline,species_baseline,p_h,0.017721794323248156,NA,0.305,0,1,1
species_error_strict,species_baseline,species_baseline,t360_mean,0.01347718217589755,NA,0.665,0,1,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,mos,0.021368836811568516,6.033122898555987e-4,0.085,0,20,20
species_error_strict,species_same_genus_observed_10pct,species_baseline,p_h,0.017638751602372264,6.98883177661121e-4,0.26,0,20,20
