metric,error_rate,error_pct,mean_value,p10_value,p90_value,mean_response_ratio,p10_response_ratio,p90_response_ratio,mean_percent_change,p10_percent_change,p90_percent_change,metric_label
gamma_taxon_units,0.01,1,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.02,2,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.03,3,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.04,4,50.9,50.900000000000006,51,0.9980392156862745,0.9980392156862745,1,-0.19607843137254943,-0.1960784313725496,0,Gamma richness
gamma_taxon_units,0.05,5,50.9,50.900000000000006,51,0.9980392156862745,0.9980392156862745,1,-0.19607843137254943,-0.1960784313725496,0,Gamma richness
gamma_taxon_units,0.060000000000000005,6,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.06999999999999999,7,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.08,8,50.8,50,51,0.996078431372549,0.9803921568627451,1,-0.39215686274509887,-1.9607843137254943,0,Gamma richness
gamma_taxon_units,0.09,9,50.9,50.900000000000006,51,0.9980392156862745,0.9980392156862745,1,-0.19607843137254943,-0.1960784313725496,0,Gamma richness
gamma_taxon_units,0.09999999999999999,10,50.9,50.900000000000006,51,0.9980392156862745,0.9980392156862745,1,-0.19607843137254943,-0.1960784313725496,0,Gamma richness
gamma_taxon_units,0.11,11,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.12,12,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.13,13,50.9,50.900000000000006,51,0.9980392156862745,0.9980392156862745,1,-0.19607843137254943,-0.1960784313725496,0,Gamma richness
gamma_taxon_units,0.14,14,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.15000000000000002,15,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.16,16,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.17,17,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.18000000000000002,18,50.8,50.800000000000004,51,0.996078431372549,0.996078431372549,1,-0.39215686274509776,-0.3921568627450981,0,Gamma richness
gamma_taxon_units,0.19,19,51,51,51,1,1,1,0,0,0,Gamma richness
gamma_taxon_units,0.2,20,50.9,50.900000000000006,51,0.9980392156862745,0.9980392156862745,1,-0.19607843137254943,-0.1960784313725496,0,Gamma richness
mean_coverage_chao,0.01,1,0.8487952479362646,0.8439480531541718,0.8514359349950968,0.9953814323241926,0.9896971313143968,0.9984781636894204,-0.46185676758073835,-1.030286868560314,-0.15218363105796162,Mean sample coverage
mean_coverage_chao,0.02,2,0.8465444835169118,0.8438887807227404,0.8493295584310343,0.9927419628914799,0.9896276225867751,0.9960080177661856,-0.7258037108520143,-1.0372377413224854,-0.3991982233814295,Mean sample coverage
mean_coverage_chao,0.03,3,0.84428968297181894,0.8414624674451755,0.848113275890243,0.9900977602977014,0.9867822871641726,0.9945816843123788,-0.9902239702298599,-1.321771283582741,-0.5418315687621235,Mean sample coverage
mean_coverage_chao,0.04,4,0.8401592108429172,0.8344294141947594,0.8430763823654235,0.9852539593058394,0.9785346318727081,0.9886749237557083,-1.474604069416059,-2.1465368127292015,-1.1325076244291679,Mean sample coverage
mean_coverage_chao,0.05,5,0.840045524396452,0.832348312752507,0.8458204551712087,0.9851206393111841,0.9760941260623401,0.9918928954944352,-1.4879360688815935,-2.3905873937659905,-0.8107104505564912,Mean sample coverage
mean_coverage_chao,0.060000000000000005,6,0.8368027470407913,0.8310249608780931,0.8416856786344874,0.9813178371903735,0.9745422324962232,0.9870440467273514,-1.8682162809626568,-2.545776750377681,-1.2955953272648602,Mean sample coverage
mean_coverage_chao,0.06999999999999999,7,0.8360693185589071,0.8292761362804835,0.8417653582901433,0.9804577462619897,0.9724913874460359,0.987137486988671,-1.9542253738010384,-2.750861255396404,-1.2862513011329046,Mean sample coverage
mean_coverage_chao,0.08,8,0.8346374251668981,0.8276811360074835,0.8431937996363914,0.9787785661547271,0.9706209320445048,0.9888126188849398,-2.1221433845272895,-2.9379067955495133,-1.118738111506016,Mean sample coverage
mean_coverage_chao,0.09,9,0.833972565335535,0.8278322625838169,0.8407892873459875,0.9779988856218236,0.9707981580461571,0.9859928494605907,-2.2001114378176445,-2.9201841953842966,-1.4007150539409219,Mean sample coverage
mean_coverage_chao,0.09999999999999999,10,0.8347099580916801,0.8316590212741382,0.8411015896137042,0.9788636254511073,0.9752857945587229,0.986359086052176,-2.11363745488927,-2.471420544127714,-1.3640913947823996,Mean sample coverage
mean_coverage_chao,0.11,11,0.8315177289906387,0.8276540652571452,0.8399657012568728,0.9751201012235303,0.9705891861996603,0.9850270307863953,-2.487989877646972,-2.9410813800339617,-1.4972969213604692,Mean sample coverage
mean_coverage_chao,0.12,12,0.826620858355129,0.8162007233878763,0.8347357128795717,0.969377545384615,0.9571578623763353,0.9788938280679611,-3.0622454615385006,-4.284213762366473,-2.110617193203892,Mean sample coverage
mean_coverage_chao,0.13,13,0.8280560292503507,0.8204163561023783,0.8363135864030101,0.9710605690169799,0.9621015311111876,0.9807441989455139,-2.89394309830201,-3.7898468888812475,-1.925580105448611,Mean sample coverage
mean_coverage_chao,0.14,14,0.8260299029426645,0.8184269333980606,0.8335882777267877,0.9686845324980222,0.9597685368752553,0.9775482318848364,-3.1315467501977765,-4.023146312474472,-2.2451768115163526,Mean sample coverage
mean_coverage_chao,0.15000000000000002,15,0.8265223787387759,0.8168602393568785,0.8346591897630743,0.9692620584261069,0.9579312761666011,0.9788040894773052,-3.073794157389307,-4.206872383339885,-2.119591052269472,Mean sample coverage
mean_coverage_chao,0.16,16,0.8269749914928037,0.816373164525939,0.8337031954693158,0.969792837000195,0.9573600839455697,0.9776829958192897,-3.020716299980496,-4.263991605443031,-2.2317004180710267,Mean sample coverage
mean_coverage_chao,0.17,17,0.8210853519207493,0.8118802803611799,0.827209286815697,0.9628860619123767,0.9520912826815924,0.9700675949169664,-3.7113938087623266,-4.790871731840764,-2.9932405083033577,Mean sample coverage
mean_coverage_chao,0.18000000000000002,18,0.8249120096416365,0.8181155982633906,0.8311245018250633,0.967373580018177,0.9594034344397337,0.974658964076202,-3.262641998182306,-4.05965655602663,-2.5341035923798096,Mean sample coverage
mean_coverage_chao,0.19,19,0.8197245072325887,0.8080756122019604,0.8303278712369939,0.9612902005569256,0.947629551715202,0.9737247560941077,-3.870979944307439,-5.237044828479796,-2.627524390589236,Mean sample coverage
mean_coverage_chao,0.2,20,0.8184115597383755,0.8088394418264845,0.8288415248911032,0.9597505081982162,0.9485252940365204,0.9719817190562592,-4.024949180178386,-5.14747059634795,-2.801828094374077,Mean sample coverage
mean_local_q0,0.01,1,5.475,5.4411764705882355,5.5014705882352946,1.022802197802198,1.0164835164835166,1.0277472527472529,2.2802197802197943,1.6483516483516647,2.774725274725287,Alpha q0 richness
mean_local_q0,0.02,2,5.573529411764706,5.529411764705882,5.622058823529411,1.0412087912087913,1.032967032967033,1.0502747252747253,4.120879120879131,3.296703296703307,5.027472527472534,Alpha q0 richness
mean_local_q0,0.03,3,5.633823529411765,5.6,5.663235294117647,1.0524725274725277,1.0461538461538462,1.0579670329670332,5.247252747252762,4.615384615384621,5.7967032967033205,Alpha q0 richness
mean_local_q0,0.04,4,5.7102941176470585,5.630882352941177,5.754411764705883,1.066758241758242,1.0519230769230772,1.0750000000000002,6.675824175824195,5.192307692307716,7.500000000000018,Alpha q0 richness
mean_local_q0,0.05,5,5.720588235294118,5.682352941176471,5.783823529411765,1.0686813186813189,1.0615384615384618,1.0804945054945057,6.868131868131886,6.153846153846174,8.049450549450565,Alpha q0 richness
mean_local_q0,0.060000000000000005,6,5.804411764705883,5.748529411764706,5.845588235294118,1.0843406593406595,1.073901098901099,1.0920329670329672,8.434065934065949,7.390109890109908,9.203296703296713,Alpha q0 richness
mean_local_q0,0.06999999999999999,7,5.867647058823529,5.794117647058823,5.988235294117647,1.0961538461538463,1.0824175824175826,1.1186813186813187,9.615384615384626,8.241758241758257,11.86813186813187,Alpha q0 richness
