scenario_family,scenario,baseline_scenario,unit_type,iter,error_rate,error_pct,pool_source,n_units,total_abundance,mean_local_q0,mean_local_q1,mean_local_q2,mean_coverage_chao,gamma_taxon_units
appendix_error_gradient,appendix_species_baseline,appendix_species_baseline,species_units,1,0,0,observed,68,2352,5.352941176470588,3.582867936622921,2.905406941235482,0.852733656036106,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,1,0.01,1,observed,68,2352,5.4411764705882355,3.5972311198687015,2.9109686524793235,0.8514213529509492,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,2,0.01,1,observed,68,2352,5.5,3.639979726617321,2.942562986381709,0.8494575607291717,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,3,0.01,1,observed,68,2352,5.470588235294118,3.605105684702308,2.915220664876804,0.8515671733924257,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,4,0.01,1,observed,68,2352,5.4411764705882355,3.609042567413631,2.9222597583685364,0.8506600279807947,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,5,0.01,1,observed,68,2352,5.5,3.609872382824364,2.914223648356374,0.8509541534884552,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,6,0.01,1,observed,68,2352,5.470588235294118,3.628796655991843,2.9336631323083266,0.8441512663615053,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,7,0.01,1,observed,68,2352,5.485294117647059,3.610319394420143,2.9139441658324796,0.850507700975847,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,8,0.01,1,observed,68,2352,5.4411764705882355,3.6118608363634417,2.916316245529826,0.8501956622117743,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,9,0.01,1,observed,68,2352,5.514705882352941,3.642877740809419,2.9358280357476563,0.8469184469835528,51
appendix_error_gradient,appendix_species_same_genus_observed_01pct,appendix_species_baseline,species_units,10,0.01,1,observed,68,2352,5.485294117647059,3.6371808557031957,2.934591115400698,0.8421191342881695,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,1,0.02,2,observed,68,2352,5.573529411764706,3.6542342457378405,2.9413066401941164,0.8454018570470772,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,2,0.02,2,observed,68,2352,5.544117647058823,3.6553101453171357,2.942270928708076,0.8476638127548339,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,3,0.02,2,observed,68,2352,5.529411764705882,3.632900051975516,2.927660088895236,0.8493588066166918,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,4,0.02,2,observed,68,2352,5.5588235294117645,3.655899453366911,2.9480644001366305,0.8404708184347789,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,5,0.02,2,observed,68,2352,5.529411764705882,3.6677868868334023,2.967339213846324,0.8468511076242874,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,6,0.02,2,observed,68,2352,5.588235294117647,3.6604408741998773,2.9428231806976912,0.8493263086326279,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,7,0.02,2,observed,68,2352,5.529411764705882,3.650274739631896,2.9444429971261763,0.8474321392678916,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,8,0.02,2,observed,68,2352,5.661764705882353,3.6953537700878694,2.9613240333879047,0.8464067870580758,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,9,0.02,2,observed,68,2352,5.617647058823529,3.680571400412835,2.958143465861625,0.8442685543102917,51
appendix_error_gradient,appendix_species_same_genus_observed_02pct,appendix_species_baseline,species_units,10,0.02,2,observed,68,2352,5.602941176470588,3.657400604944759,2.938902190322284,0.8482646434225622,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,1,0.03,3,observed,68,2352,5.617647058823529,3.674252621616329,2.9489383850696633,0.8492028975423653,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,2,0.03,3,observed,68,2352,5.602941176470588,3.683037238681081,2.9608817450296563,0.8454309548653548,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,3,0.03,3,observed,68,2352,5.676470588235294,3.715786775067106,2.9767061148734837,0.8465122261032381,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,4,0.03,3,observed,68,2352,5.617647058823529,3.6887532735607365,2.970758727954515,0.8426410717274223,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,5,0.03,3,observed,68,2352,5.661764705882353,3.7148895228707843,2.9789622204534387,0.8388389788029573,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,6,0.03,3,observed,68,2352,5.661764705882353,3.73089996698019,2.992420130293818,0.8417539661831998,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,7,0.03,3,observed,68,2352,5.647058823529412,3.683330689017208,2.962587257107881,0.8479922068177849,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,8,0.03,3,observed,68,2352,5.617647058823529,3.698093075822826,2.9715175704349,0.8441332289818643,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,9,0.03,3,observed,68,2352,5.573529411764706,3.679072653537255,2.9590301666300465,0.8435457261951189,51
appendix_error_gradient,appendix_species_same_genus_observed_03pct,appendix_species_baseline,species_units,10,0.03,3,observed,68,2352,5.661764705882353,3.6983277816196405,2.968976113608117,0.8428455724988843,51
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,1,0.04,4,observed,68,2352,5.75,3.751962994556621,2.9951699372147322,0.8402939256751049,51
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,2,0.04,4,observed,68,2352,5.720588235294118,3.730273232384014,2.9920572993812575,0.8346975914527683,51
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,3,0.04,4,observed,68,2352,5.720588235294118,3.711489011120562,2.965923362852169,0.8419814118596899,51
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,4,0.04,4,observed,68,2352,5.705882352941177,3.706150168363695,2.9614504189971758,0.8389629944439188,51
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,5,0.04,4,observed,68,2352,5.75,3.7553868945714197,3.003096248684168,0.8448306242949264,51
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,6,0.04,4,observed,68,2352,5.617647058823529,3.71707777316668,2.9802651172658714,0.8428664807804039,51
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,7,0.04,4,observed,68,2352,5.632352941176471,3.6865964995441782,2.95588602450746,0.8428814665954787,51
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,8,0.04,4,observed,68,2352,5.6911764705882355,3.6944634919639614,2.9516789625967244,0.8426981604876372,51
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,9,0.04,4,observed,68,2352,5.794117647058823,3.760856632170551,3.0158354290404743,0.8320158188726783,50
appendix_error_gradient,appendix_species_same_genus_observed_04pct,appendix_species_baseline,species_units,10,0.04,4,observed,68,2352,5.720588235294118,3.6900059647386234,2.9622461526388344,0.8403636339665655,51
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,1,0.05,5,observed,68,2352,5.735294117647059,3.757110078364918,3.012043587116818,0.8327335238501511,50
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,2,0.05,5,observed,68,2352,5.764705882352941,3.769236251723895,3.0202081740320708,0.8378400028632357,51
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,3,0.05,5,observed,68,2352,5.705882352941177,3.7235928444661712,2.979888712968535,0.844257932734504,51
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,4,0.05,5,observed,68,2352,5.602941176470588,3.683778850534564,2.960724736147828,0.846796013487512,51
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,5,0.05,5,observed,68,2352,5.705882352941177,3.750250032468724,3.0114912409307384,0.8441132839097596,51
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,6,0.05,5,observed,68,2352,5.705882352941177,3.7297703760161407,2.9924122475582418,0.8414936612302626,51
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,7,0.05,5,observed,68,2352,5.6911764705882355,3.7293809552301953,2.998466568567024,0.8393085397679438,51
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,8,0.05,5,observed,68,2352,5.6911764705882355,3.706222217396784,2.958844600559402,0.8457120598027307,51
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,9,0.05,5,observed,68,2352,5.779411764705882,3.7667832572534943,3.01035605401141,0.8393188134447108,51
appendix_error_gradient,appendix_species_same_genus_observed_05pct,appendix_species_baseline,species_units,10,0.05,5,observed,68,2352,5.823529411764706,3.7620282530029066,2.993686481794776,0.82888141287371,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,1,0.060000000000000005,6,observed,68,2352,5.75,3.756830226311809,3.0078981848907587,0.8317165100734659,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,2,0.060000000000000005,6,observed,68,2352,5.8088235294117645,3.7923677242363376,3.023442263214308,0.84141712139434,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,3,0.060000000000000005,6,observed,68,2352,5.764705882352941,3.757544903608818,3.0003838312678646,0.8441026937958133,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,4,0.060000000000000005,6,observed,68,2352,5.823529411764706,3.7785994476480176,3.0046805587107333,0.8413706313196417,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,5,0.060000000000000005,6,observed,68,2352,5.823529411764706,3.7831115509714133,3.0062450824235842,0.8367021637315329,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,6,0.060000000000000005,6,observed,68,2352,5.838235294117647,3.7771516654984705,3.002410540927044,0.8388487276923671,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,7,0.060000000000000005,6,observed,68,2352,5.911764705882353,3.821487122295224,3.0385564302405723,0.8248010181197384,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,8,0.060000000000000005,6,observed,68,2352,5.794117647058823,3.7944049965095497,3.039783557626112,0.8331349869494419,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,9,0.060000000000000005,6,observed,68,2352,5.735294117647059,3.7757296651623413,3.028064087947634,0.8410933605549038,51
appendix_error_gradient,appendix_species_same_genus_observed_06pct,appendix_species_baseline,species_units,10,0.060000000000000005,6,observed,68,2352,5.794117647058823,3.782580891752116,3.022098446598384,0.8348402567766682,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,1,0.06999999999999999,7,observed,68,2352,5.867647058823529,3.8152565216141205,3.0335800074916732,0.8393493201555052,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,2,0.06999999999999999,7,observed,68,2352,5.8088235294117645,3.762519007607228,3.014425162698232,0.8374359792772567,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,3,0.06999999999999999,7,observed,68,2352,5.867647058823529,3.809562473525063,3.0399072711571087,0.8363408917444817,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,4,0.06999999999999999,7,observed,68,2352,5.794117647058823,3.7820225921633894,3.01802026864487,0.8425626046729183,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,5,0.06999999999999999,7,observed,68,2352,5.882352941176471,3.8476616782602484,3.0788031792491695,0.8295203972623835,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,6,0.06999999999999999,7,observed,68,2352,6.014705882352941,3.8716497886316503,3.064237464228865,0.8270777874433834,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,7,0.06999999999999999,7,observed,68,2352,5.985294117647059,3.854625101782041,3.0527583757101384,0.8357564113686042,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,8,0.06999999999999999,7,observed,68,2352,5.838235294117647,3.789477984146287,3.0258180915460238,0.8416767753587239,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,9,0.06999999999999999,7,observed,68,2352,5.823529411764706,3.7980525073792197,3.0421968458224447,0.8373342922558773,51
appendix_error_gradient,appendix_species_same_genus_observed_07pct,appendix_species_baseline,species_units,10,0.06999999999999999,7,observed,68,2352,5.794117647058823,3.7550746150358787,3.003685473269138,0.8336387260499368,51
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,1,0.08,8,observed,68,2352,5.764705882352941,3.792689337807091,3.025625553008279,0.845554022665329,51
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,2,0.08,8,observed,68,2352,6.014705882352941,3.899007468106565,3.083572304707758,0.8291907657861088,51
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,3,0.08,8,observed,68,2352,6.029411764705882,3.8960250732301698,3.0844082571060234,0.8329952593977957,51
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,4,0.08,8,observed,68,2352,5.897058823529412,3.854110592276367,3.070857021826907,0.8429315526331761,50
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,5,0.08,8,observed,68,2352,5.9411764705882355,3.842527709971749,3.0532022983006626,0.8226293377277906,51
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,6,0.08,8,observed,68,2352,6.029411764705882,3.914373221433628,3.1112612510595015,0.8282424469274493,51
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,7,0.08,8,observed,68,2352,5.852941176470588,3.8343119986060046,3.0733313336357244,0.8413920419224259,51
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,8,0.08,8,observed,68,2352,5.911764705882353,3.830740188798902,3.0502441868045143,0.8364762608481563,50
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,9,0.08,8,observed,68,2352,5.9411764705882355,3.8751888689752447,3.077941948470368,0.8357351055507586,51
appendix_error_gradient,appendix_species_same_genus_observed_08pct,appendix_species_baseline,species_units,10,0.08,8,observed,68,2352,5.897058823529412,3.806690922153646,3.0249757712251926,0.8312274582099902,51
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,1,0.09,9,observed,68,2352,5.970588235294118,3.872399832795934,3.0763545170589763,0.8331041883014203,51
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,2,0.09,9,observed,68,2352,6,3.870518159173552,3.0695583039355387,0.8267965553722194,51
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,3,0.09,9,observed,68,2352,5.955882352941177,3.8633881799494363,3.0681266299287135,0.8351048663606919,51
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,4,0.09,9,observed,68,2352,5.867647058823529,3.7761938061798457,3.0058387540991816,0.8433034305226064,51
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,5,0.09,9,observed,68,2352,5.897058823529412,3.812700872049595,3.040548401139889,0.839355159668215,51
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,6,0.09,9,observed,68,2352,5.926470588235294,3.857914805374708,3.0697547739678916,0.8287107716285617,51
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,7,0.09,9,observed,68,2352,5.852941176470588,3.851328099739616,3.0773318491816597,0.8313758470805646,50
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,8,0.09,9,observed,68,2352,5.955882352941177,3.8518185645517393,3.058457165836946,0.8405099381041409,51
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,9,0.09,9,observed,68,2352,6.117647058823529,3.9360575023460607,3.10378025189336,0.8335175551540469,51
appendix_error_gradient,appendix_species_same_genus_observed_09pct,appendix_species_baseline,species_units,10,0.09,9,observed,68,2352,5.9411764705882355,3.85028121791591,3.0605836727549196,0.8279473411628833,51
appendix_error_gradient,appendix_species_same_genus_observed_10pct,appendix_species_baseline,species_units,1,0.09999999999999999,10,observed,68,2352,5.838235294117647,3.785156301807713,2.999263584958893,0.8410126050152397,51
