metric,metric_label,error_rate,error_pct,mean_stability,p10_stability,p90_stability
bray_curtis_cor,Bray-Curtis,0.01,1,0.9988094068415703,0.9979784981245394,0.9998844080761592
bray_curtis_cor,Bray-Curtis,0.02,2,0.9973525848576499,0.9945520353197789,0.9989664258447246
bray_curtis_cor,Bray-Curtis,0.03,3,0.9960321472926702,0.9947481471018985,0.9977283028796069
bray_curtis_cor,Bray-Curtis,0.04,4,0.9940683235981678,0.9918960605045681,0.9958160288679532
bray_curtis_cor,Bray-Curtis,0.05,5,0.9932197699213824,0.9916069985925072,0.994415827843066
bray_curtis_cor,Bray-Curtis,0.060000000000000005,6,0.990905129769706,0.9890891447376285,0.9924376659599726
bray_curtis_cor,Bray-Curtis,0.06999999999999999,7,0.9893397946868507,0.9865015990002476,0.9920597650124969
bray_curtis_cor,Bray-Curtis,0.08,8,0.9885003069233685,0.9855503419424592,0.9919081647184775
bray_curtis_cor,Bray-Curtis,0.09,9,0.9889231167152681,0.9852650955253529,0.9911427212336434
bray_curtis_cor,Bray-Curtis,0.09999999999999999,10,0.9882497920929587,0.9854318266344733,0.9909838131320807
bray_curtis_cor,Bray-Curtis,0.11,11,0.9844870742529385,0.9799963574638406,0.9879637335919391
bray_curtis_cor,Bray-Curtis,0.12,12,0.9823230772601526,0.9791440664003962,0.9868502424266755
bray_curtis_cor,Bray-Curtis,0.13,13,0.9833660351404037,0.9796703367810791,0.9873549852738479
bray_curtis_cor,Bray-Curtis,0.14,14,0.979081381972713,0.9746087200365389,0.9831349573574957
bray_curtis_cor,Bray-Curtis,0.15000000000000002,15,0.9792196423402005,0.9747522707349121,0.985813506647961
bray_curtis_cor,Bray-Curtis,0.16,16,0.9779283573934359,0.9744707962279832,0.982003822236861
bray_curtis_cor,Bray-Curtis,0.17,17,0.976963378678269,0.9743123554973141,0.980021508046488
bray_curtis_cor,Bray-Curtis,0.18000000000000002,18,0.9714635193206373,0.9680761111515614,0.978767269938087
bray_curtis_cor,Bray-Curtis,0.19,19,0.9749172338924628,0.9707636135505833,0.9803993618847775
bray_curtis_cor,Bray-Curtis,0.2,20,0.9709234788242389,0.9645032196199815,0.9765914689014672
coverage_chao_cor,Mean sample coverage,0.01,1,0.992663624074756,0.9723319927801236,0.9995992223327071
coverage_chao_cor,Mean sample coverage,0.02,2,0.9913196104083274,0.9894734142406193,0.9984305322707949
coverage_chao_cor,Mean sample coverage,0.03,3,0.9880536270708563,0.9739295664666483,0.9947570362579474
coverage_chao_cor,Mean sample coverage,0.04,4,0.9796232844874635,0.9614892610981107,0.9902811541094974
coverage_chao_cor,Mean sample coverage,0.05,5,0.9759869290460979,0.9626052167181305,0.9925128943236645
coverage_chao_cor,Mean sample coverage,0.060000000000000005,6,0.9699945353434267,0.9397843070189891,0.9897385681510464
coverage_chao_cor,Mean sample coverage,0.06999999999999999,7,0.9625387534076983,0.9343709270783258,0.9857194934951097
coverage_chao_cor,Mean sample coverage,0.08,8,0.9596036820045938,0.9254843695413079,0.9827775207266612
coverage_chao_cor,Mean sample coverage,0.09,9,0.9568753910571519,0.927059320318623,0.9813939352927463
coverage_chao_cor,Mean sample coverage,0.09999999999999999,10,0.9710174215043798,0.9530455643250784,0.9860740525745861
coverage_chao_cor,Mean sample coverage,0.11,11,0.9541778857059495,0.9301195150460659,0.9814648192854508
coverage_chao_cor,Mean sample coverage,0.12,12,0.9496170516400753,0.9256949280475294,0.9730025640061061
coverage_chao_cor,Mean sample coverage,0.13,13,0.9557798067236376,0.9297654197126016,0.9762313059915502
coverage_chao_cor,Mean sample coverage,0.14,14,0.950565676944226,0.9316059756066958,0.9649836956037843
coverage_chao_cor,Mean sample coverage,0.15000000000000002,15,0.9383992839063634,0.9004706980769253,0.9800314962958989
coverage_chao_cor,Mean sample coverage,0.16,16,0.9360431872618031,0.912153244839354,0.9585603799821034
coverage_chao_cor,Mean sample coverage,0.17,17,0.9328495510192845,0.9088214458723765,0.9513297302357009
coverage_chao_cor,Mean sample coverage,0.18000000000000002,18,0.9445393205395224,0.9159188567383508,0.964510603004599
coverage_chao_cor,Mean sample coverage,0.19,19,0.9334559091109874,0.906110428739368,0.9658258592233536
coverage_chao_cor,Mean sample coverage,0.2,20,0.9313340022060514,0.9040587270623701,0.9666499764255735
jaccard_pa_cor,Jaccard,0.01,1,0.992073500147374,0.9893073368968359,0.9957356426696913
jaccard_pa_cor,Jaccard,0.02,2,0.9798354213776468,0.9739270757321099,0.9859349076962198
jaccard_pa_cor,Jaccard,0.03,3,0.9731284204150464,0.965035746327545,0.9804912873019125
jaccard_pa_cor,Jaccard,0.04,4,0.966140344489912,0.9569420423060057,0.9739080927238234
jaccard_pa_cor,Jaccard,0.05,5,0.961894541425617,0.9515139996172544,0.9718277425975684
jaccard_pa_cor,Jaccard,0.060000000000000005,6,0.9523994619797191,0.9427219287924381,0.9623181822524242
jaccard_pa_cor,Jaccard,0.06999999999999999,7,0.9500555213035613,0.9342731574724581,0.9592822916836017
jaccard_pa_cor,Jaccard,0.08,8,0.942612623707231,0.9357716928287775,0.9481548903641213
jaccard_pa_cor,Jaccard,0.09,9,0.9393565205067576,0.9266921638454994,0.9494611544505194
jaccard_pa_cor,Jaccard,0.09999999999999999,10,0.943028902282923,0.9318539171503271,0.9555244363866329
