scenario_family,scenario,baseline_scenario,unit_type,iter,n_units,total_abundance,mean_local_q0,mean_local_q1,mean_local_q2,mean_coverage_chao,p10_coverage_chao,median_coverage_chao,p90_coverage_chao,gamma_taxon_units,mean_occupancy,alpha_baseline,gamma_baseline,occupancy_baseline,delta_alpha,delta_gamma,delta_occupancy,rel_delta_alpha_pct,rel_delta_gamma_pct,rel_delta_occupancy_pct,beta_signature,scenario_label,scenario_group_label
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,68,3055,4.3088235294117645,2.7186798761399738,2.249409210850784,0.943364457886325,0.8793333333333333,0.9941921497174557,1,16,0.2693014705882353,6.955882352941177,69,0.10080988917306052,-2.647058823529412,-53,0.16849158141517476,-38.054968287526435,-76.81159420289855,167.13794926004226,Apparent homogenisation,"Family-level
resolution",Taxonomic coarsening
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,68,3055,6.955882352941177,4.4590431729959565,3.5345332167562264,0.8809165551767177,0.763995427398283,0.9151220550086334,0.9896143381519078,69,0.10080988917306052,6.955882352941177,69,0.10080988917306052,0,0,0,0,0,0,No meaningful change,rtu_mixed_family_resolvable,NA
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,68,3040,6.588235294117647,4.22456694658653,3.3528334611627875,0.8905603352908295,0.7923076923076924,0.9264102564102564,1,46,0.1432225063938619,6.897058823529412,67,0.10294117647058824,-0.3088235294117654,-21,0.04028132992327364,-4.477611940298517,-31.34328358208955,39.13043478260868,Apparent homogenisation,"Genus-level
resolution",Taxonomic coarsening
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,68,3040,6.897058823529412,4.403852361936717,3.4847056460278263,0.8813459932831056,0.7782135627530363,0.9132410985784689,0.9896143381519078,67,0.10294117647058824,6.897058823529412,67,0.10294117647058824,0,0,0,0,0,0,No meaningful change,rtu_mixed_genus_resolvable,NA
species_error_strict,species_baseline,species_baseline,species_units,1,68,2352,5.352941176470588,3.582867936622921,2.905406941235482,0.852733656036106,0.7002849002849003,0.9207575757575758,1,51,0.104959630911188,5.352941176470588,51,0.104959630911188,0,0,0,0,0,0,No meaningful change,species_baseline,NA
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,1,68,2352,5.955882352941177,3.834280728925079,3.022645084751842,0.8379798763159676,0.6336348684210527,0.9083777424582398,1,51,0.11678200692041522,5.352941176470588,51,0.104959630911188,0.6029411764705888,0,0.011822376009227226,11.263736263736273,0,11.263736263736268,Apparent homogenisation,"Diffuse congeneric
error 10%",Species-level error
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,2,68,2352,6.044117647058823,3.9720681650616823,3.162689847162711,0.8270976905052551,0.5736139986139985,0.8946019189921629,1,51,0.1185121107266436,5.352941176470588,51,0.104959630911188,0.6911764705882355,0,0.013552479815455598,12.912087912087918,0,12.912087912087916,Apparent homogenisation,"Diffuse congeneric
error 10%",Species-level error
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,3,68,2352,5.955882352941177,3.9152674219619006,3.1074100665041384,0.8405845109982472,0.6387968117408906,0.9013888888888889,1,51,0.11678200692041522,5.352941176470588,51,0.104959630911188,0.6029411764705888,0,0.011822376009227226,11.263736263736273,0,11.263736263736268,Apparent homogenisation,"Diffuse congeneric
error 10%",Species-level error
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,4,68,2352,5.985294117647059,3.914150530163826,3.11935431839751,0.8310296682768806,0.6238157894736842,0.8924162257495591,1,51,0.11735870818915801,5.352941176470588,51,0.104959630911188,0.632352941176471,0,0.012399077277970016,11.813186813186821,0,11.81318681318682,Apparent homogenisation,"Diffuse congeneric
error 10%",Species-level error
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,5,68,2352,5.970588235294118,3.88590912204084,3.104690923981402,0.8307557149469279,0.6610284331518451,0.9020158481365378,1,51,0.11707035755478662,5.352941176470588,51,0.104959630911188,0.6176470588235299,0,0.012110726643598621,11.538461538461547,0,11.538461538461545,Apparent homogenisation,"Diffuse congeneric
error 10%",Species-level error
