candidate_key,candidate_label,genus
cdref:215792,Acherongia minima,Acherongia
cdref:215793,Acherontiella bougisi,Acherontiella
cdref:215794,Acherontiella cassagnaui,Acherontiella
cdref:215795,Acherontiella variabilis,Acherontiella
cdref:216198,Actaletes neptuni,Actaletes
cdref:215975,Aethiopellina hebrardi,Aethiopellina
cdref:216415,Allacma fusca,Allacma
cdref:216416,Allacma gallica,Allacma
cdref:216052,Allonychiurus vandeli,Allonychiurus
cdref:215970,Anurida bonneti,Anurida
cdref:215971,Anurida ellipsoides,Anurida
cdref:215972,Anurida granaria,Anurida
cdref:215973,Anurida maritima,Anurida
cdref:215974,Anurida thalassophila,Anurida
cdref:215968,Anuridella calcarata,Anuridella
cdref:215969,Anuridella marina,Anuridella
cdref:216064,Anurophorus barroudensis,Anurophorus
cdref:216065,Anurophorus laricis,Anurophorus
cdref:216066,Anurophorus massoudi,Anurophorus
cdref:216067,Anurophorus oredonensis,Anurophorus
cdref:216068,Anurophorus racovitzai,Anurophorus
cdref:216070,Anurophorus serratus,Anurophorus
cdref:216071,Archisotoma besselsi,Archisotoma
cdref:216072,Archisotoma heraultensis,Archisotoma
cdref:216073,Archisotoma interstitialis,Archisotoma
cdref:216074,Archisotoma pulchella,Archisotoma
cdref:216075,Archisotoma subbrucei,Archisotoma
cdref:216046,Argonychiurus bertrandi,Argonychiurus
cdref:216047,Argonychiurus fistulosus,Argonychiurus
cdref:216344,Arrhopalites acanthophthalmus,Arrhopalites
cdref:216345,Arrhopalites bifidus,Arrhopalites
cdref:216346,Arrhopalites caecus,Arrhopalites
cdref:216347,Arrhopalites elegans,Arrhopalites
cdref:216348,Arrhopalites furcatus,Arrhopalites
cdref:216349,Arrhopalites longicornis,Arrhopalites
cdref:216350,Arrhopalites microphthalmus,Arrhopalites
cdref:216351,Arrhopalites ornatus,Arrhopalites
cdref:216352,Arrhopalites postumicoides,Arrhopalites
cdref:216353,Arrhopalites postumicus,Arrhopalites
cdref:216354,Arrhopalites principalis,Arrhopalites
cdref:216355,Arrhopalites pygmaeus,Arrhopalites
cdref:216356,Arrhopalites secundarius,Arrhopalites
cdref:216357,Arrhopalites sericus,Arrhopalites
cdref:216358,Arrhopalites subbifidus,Arrhopalites
cdref:216359,Arrhopalites subboneti,Arrhopalites
cdref:216360,Arrhopalites terricola,Arrhopalites
cdref:216076,Axelsonia littoralis,Axelsonia
cdref:215976,Axenyllodes bayeri,Axenyllodes
cdref:443377,Axenyllodes britannicus,Axenyllodes
cdref:215977,Axenyllodes clevai,Axenyllodes
cdref:216077,Ballistura fitchi,Ballistura
cdref:216078,Ballistura palustris,Ballistura
cdref:216079,Ballistura richardi,Ballistura
cdref:216291,Bessoniella procera,Bessoniella
cdref:215917,Bilobella aurantiaca,Bilobella
cdref:215796,Bonetogastrura balazuci,Bonetogastrura
cdref:215797,Bonetogastrura cavicola,Bonetogastrura
cdref:215798,Bonetogastrura soulensis,Bonetogastrura
cdref:216361,Bourletiella arvalis,Bourletiella
cdref:216365,Bourletiella canigouensis,Bourletiella
cdref:216366,Bourletiella coeruleovernalis,Bourletiella
name_fallback:Bourletiella hortensis,Bourletiella hortensis,Bourletiella
cdref:216367,Bourletiella luteovernalis,Bourletiella
cdref:216362,Bourletiella pistillum,Bourletiella
cdref:216368,Bourletiella pruinosa,Bourletiella
cdref:216363,Bourletiella radula,Bourletiella
cdref:216369,Bourletiella trichroma,Bourletiella
cdref:216364,Bourletiella viridescens,Bourletiella
cdref:215871,Brachystomella curvula,Brachystomella
cdref:215872,Brachystomella nubila,Brachystomella
cdref:215873,Brachystomella parvula,Brachystomella
cdref:216413,Caprainea echinata,Caprainea
cdref:216414,Caprainea marginata,Caprainea
cdref:215967,Cassagnaudina coiffaiti,Cassagnaudina
cdref:215915,Catalanura catalana,Catalanura
cdref:215799,Ceratophysella armata,Ceratophysella
cdref:215800,Ceratophysella bengtssoni,Ceratophysella
cdref:215801,Ceratophysella cylindrica,Ceratophysella
cdref:215802,Ceratophysella denticulata,Ceratophysella
cdref:215803,Ceratophysella engadinensis,Ceratophysella
cdref:215804,Ceratophysella falcifer,Ceratophysella
name_fallback:Ceratophysella gibbosa,Ceratophysella gibbosa,Ceratophysella
cdref:215805,Ceratophysella granulata,Ceratophysella
cdref:215806,Ceratophysella norensis,Ceratophysella
cdref:215807,Ceratophysella penicillifer,Ceratophysella
cdref:215808,Ceratophysella pyrenaica,Ceratophysella
cdref:215809,Ceratophysella recta,Ceratophysella
cdref:215810,Ceratophysella succinea,Ceratophysella
cdref:215811,Ceratophysella tergilobata,Ceratophysella
cdref:215812,Ceratophysella tuberculata,Ceratophysella
cdref:215813,Choreutinula inermis,Choreutinula
cdref:216311,Coecobrya tenebricosa,Coecobrya
cdref:216080,Coloburella cassagnaui,Coloburella
cdref:216081,Coloburella vandeli,Coloburella
cdref:216082,Coloburella zangherii,Coloburella
cdref:216083,Cryptopygus bipunctatus,Cryptopygus
cdref:216084,Cryptopygus debilis,Cryptopygus
cdref:216085,Cryptopygus delamarei,Cryptopygus
cdref:216086,Cryptopygus orientalis,Cryptopygus
cdref:216087,Cryptopygus ponticus,Cryptopygus
cdref:216088,Cryptopygus scapelliferus,Cryptopygus
cdref:216089,Cryptopygus thermophilus,Cryptopygus
cdref:443422,Cylindropygus ferox,Cylindropygus
cdref:216312,Cyphoderus albinus,Cyphoderus
cdref:216313,Cyphoderus bidenticulatus,Cyphoderus
cdref:216314,Cyphoderus paralbinus,Cyphoderus
cdref:216315,Cyphoderus veneris,Cyphoderus
cdref:216043,Deharvengiurus argus,Deharvengiurus
cdref:216044,Deharvengiurus lopezi,Deharvengiurus
cdref:216045,Deharvengiurus pseudocantabricus,Deharvengiurus
cdref:216090,Desoria duodecimoculata,Desoria
cdref:216091,Desoria fennica,Desoria
cdref:216092,Desoria fjellbergi,Desoria
cdref:216093,Desoria nivalis,Desoria
cdref:216094,Desoria propinqua,Desoria
cdref:216095,Desoria saltans,Desoria
cdref:216096,Desoria tigrina,Desoria
cdref:216097,Desoria violacea,Desoria
cdref:216051,Detriturus cassagnaui,Detriturus
cdref:216033,Deuteraphorura angelieri,Deuteraphorura
cdref:216034,Deuteraphorura antheuili,Deuteraphorura
cdref:216035,Deuteraphorura fimetaria,Deuteraphorura
cdref:216036,Deuteraphorura ghidinii,Deuteraphorura
cdref:216037,Deuteraphorura gigoni,Deuteraphorura
cdref:216038,Deuteraphorura handschini,Deuteraphorura
cdref:216039,Deuteraphorura hussoni,Deuteraphorura
cdref:216040,Deuteraphorura insubraria,Deuteraphorura
cdref:216041,Deuteraphorura silvaria,Deuteraphorura
cdref:216042,Deuteraphorura vercoraria,Deuteraphorura
cdref:216370,Deuterosminthurus flavus,Deuterosminthurus
cdref:216371,Deuterosminthurus maculatus,Deuterosminthurus
