scenario_family,scenario,baseline_scenario,term,r2_mean,r2_sd,p_median,p_prop_lt_005,n_iter,n_valid
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,mos,0.012659404755727629,NA,0.55,0,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,ph,0.0223144869655423,NA,0.4,0,1,1
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,t360_mean,0.025721389355296248,NA,0.05,0,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mos,0.027201948149764534,NA,0.15,0,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,ph,0.022293489396586045,NA,0.1,0,1,1
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,t360_mean,0.014229281158692063,NA,0.5,0,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,mos,0.028286375370332704,NA,0.05,0,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,ph,0.023855750041180356,NA,0.1,0,1,1
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,t360_mean,0.014219763569192169,NA,0.55,0,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mos,0.02670230141437631,NA,0.05,0,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,ph,0.02229583340576122,NA,0.15,0,1,1
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,t360_mean,0.014234690513458156,NA,0.45,0,1,1
species_error_strict,species_baseline,species_baseline,mos,0.0218662171432256,NA,0.05,0,1,1
species_error_strict,species_baseline,species_baseline,ph,0.017721794323248156,NA,0.5,0,1,1
species_error_strict,species_baseline,species_baseline,t360_mean,0.01347718217589755,NA,0.7,0,1,1
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,mos,0.020777277095713774,4.0557751637337045e-4,0.15,0,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,ph,0.018063469083771128,2.2706105638777016e-4,0.3,0,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,t360_mean,0.013541578568823424,1.6892852675978615e-4,0.6499999999999999,0,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,mos,0.021161556825944082,5.900721307100012e-4,0.125,0,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,ph,0.017700714254380755,1.4354783758564732e-4,0.275,0,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,t360_mean,0.013495405787063201,3.218918815870954e-4,0.7,0,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,mos,0.02115644306156777,4.00438307164034e-4,0.175,0,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,ph,0.017508091747868822,6.687314135817099e-4,0.225,0,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,t360_mean,0.01305219274575352,3.7428082212245513e-4,0.65,0,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,mos,0.021563398809318915,2.9644378219895217e-4,0.125,0,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,ph,0.01759630349027144,5.503397234776867e-4,0.25,0,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,t360_mean,0.013311358277520528,0.00013920907335170337,0.6,0,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,mos,0.02175231777172328,4.2081993647621733e-4,0.1,0,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,ph,0.01778340277460779,6.216040783007111e-4,0.275,0,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,t360_mean,0.01325322230863783,3.3402297848273446e-4,0.65,0,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,mos,0.021494725891013575,3.374861528392429e-4,0.125,0,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,ph,0.01769836605346716,6.97775341044259e-4,0.275,0,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,t360_mean,0.013116541621481745,3.633244397376222e-4,0.7,0,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,mos,0.02178747117309225,5.276350108267396e-4,0.1,0,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,ph,0.018210916138300892,7.062580088162112e-4,0.25,0,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,t360_mean,0.013496195685101063,3.300904102674334e-4,0.65,0,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,mos,0.02172586036535674,3.00110651090257e-4,0.1,0,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,ph,0.017588275415349876,8.053091177080184e-4,0.25,0,10,10
