scenario,scenario_family,baseline_scenario,unit_type
rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units
rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable
rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units
rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable
species_baseline,species_error_strict,species_baseline,species_units
species_same_genus_observed_10pct,species_error_strict,species_baseline,species_units
species_same_genus_observed_3pct,species_error_strict,species_baseline,species_units
species_same_genus_observed_5pct,species_error_strict,species_baseline,species_units
species_same_genus_observed_rare_weighted_mean_10pct,species_error_strict,species_baseline,species_units
species_same_genus_observed_rare_weighted_mean_3pct,species_error_strict,species_baseline,species_units
species_same_genus_observed_rare_weighted_mean_5pct,species_error_strict,species_baseline,species_units
species_same_genus_taxref_mainland_10pct,species_error_strict,species_baseline,species_units
species_same_genus_taxref_mainland_3pct,species_error_strict,species_baseline,species_units
species_same_genus_taxref_mainland_5pct,species_error_strict,species_baseline,species_units
rtu_mixed_best_available,workflow_filtering,rtu_mixed_best_available,mixed_RTU
rtu_rare_species_to_genus,workflow_filtering,rtu_mixed_best_available,mixed_RTU
rtu_species_only_drop_unresolved,workflow_filtering,rtu_mixed_best_available,species_only
