scenario_family,scenario,baseline_scenario,unit_type,iter,inference,stability,inference_label
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,abundance_cor,1,total abundance
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,q0_cor,0.8606324395396759,q0 richness / number of units
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,q1_cor,0.7390279161831446,Hill q1 / effective units
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,q2_cor,0.6930593914179797,Hill q2 / dominant units
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,coverage_chao_cor,0.867772241261012,sample coverage Chao
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,bray_curtis_cor,0.5434069292152773,Bray-Curtis abundance distance
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,jaccard_pa_cor,0.5084485879364934,Jaccard presence-absence distance
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,sorensen_pa_cor,0.5204714784888549,Sørensen presence-absence distance
resolution_family,rtu_family_level,rtu_mixed_family_resolvable,family_units,1,procrustes_r2,0.11924237239334334,ordination Procrustes R2
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,abundance_cor,1,total abundance
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,q0_cor,1,q0 richness / number of units
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,q1_cor,1,Hill q1 / effective units
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,q2_cor,0.9999999999999998,Hill q2 / dominant units
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,coverage_chao_cor,0.9999999999999999,sample coverage Chao
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,bray_curtis_cor,1,Bray-Curtis abundance distance
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,jaccard_pa_cor,1,Jaccard presence-absence distance
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,sorensen_pa_cor,1,Sørensen presence-absence distance
resolution_family,rtu_mixed_family_resolvable,rtu_mixed_family_resolvable,mixed_RTU_family_resolvable,1,procrustes_r2,0.9999999999999996,ordination Procrustes R2
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,abundance_cor,1,total abundance
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,q0_cor,0.9888394615787783,q0 richness / number of units
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,q1_cor,0.9748511989231337,Hill q1 / effective units
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,q2_cor,0.9595448033061266,Hill q2 / dominant units
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,coverage_chao_cor,0.9745261747407851,sample coverage Chao
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,bray_curtis_cor,0.9614874480675492,Bray-Curtis abundance distance
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,jaccard_pa_cor,0.9247045601017616,Jaccard presence-absence distance
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,sorensen_pa_cor,0.9321403236541307,Sørensen presence-absence distance
resolution_genus,rtu_genus_level,rtu_mixed_genus_resolvable,genus_units,1,procrustes_r2,0.9701827565241936,ordination Procrustes R2
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,abundance_cor,1,total abundance
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,q0_cor,0.9999999999999998,q0 richness / number of units
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,q1_cor,1,Hill q1 / effective units
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,q2_cor,1,Hill q2 / dominant units
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,coverage_chao_cor,1,sample coverage Chao
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,bray_curtis_cor,1,Bray-Curtis abundance distance
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,jaccard_pa_cor,1,Jaccard presence-absence distance
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,sorensen_pa_cor,1,Sørensen presence-absence distance
resolution_genus,rtu_mixed_genus_resolvable,rtu_mixed_genus_resolvable,mixed_RTU_genus_resolvable,1,procrustes_r2,0.9999999999999996,ordination Procrustes R2
species_error_strict,species_baseline,species_baseline,species_units,1,abundance_cor,1,total abundance
species_error_strict,species_baseline,species_baseline,species_units,1,q0_cor,1,q0 richness / number of units
species_error_strict,species_baseline,species_baseline,species_units,1,q1_cor,1,Hill q1 / effective units
species_error_strict,species_baseline,species_baseline,species_units,1,q2_cor,1,Hill q2 / dominant units
species_error_strict,species_baseline,species_baseline,species_units,1,coverage_chao_cor,1,sample coverage Chao
species_error_strict,species_baseline,species_baseline,species_units,1,bray_curtis_cor,1,Bray-Curtis abundance distance
species_error_strict,species_baseline,species_baseline,species_units,1,jaccard_pa_cor,1,Jaccard presence-absence distance
species_error_strict,species_baseline,species_baseline,species_units,1,sorensen_pa_cor,1,Sørensen presence-absence distance
species_error_strict,species_baseline,species_baseline,species_units,1,procrustes_r2,1,ordination Procrustes R2
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,q0_cor,0.9935316243857792,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,q1_cor,0.9903616937167814,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,1,q2_cor,0.9898898777928978,Hill q2 / dominant units
