station,in_collembola,in_env
1030,TRUE,TRUE
1058,TRUE,TRUE
1064,TRUE,TRUE
1090,TRUE,TRUE
1141,TRUE,TRUE
1166,TRUE,TRUE
1174,TRUE,TRUE
1180,TRUE,TRUE
1237,TRUE,TRUE
1243,TRUE,TRUE
1274,TRUE,TRUE
1310,TRUE,TRUE
1366,TRUE,TRUE
137,TRUE,TRUE
1372,TRUE,TRUE
1464,TRUE,TRUE
1477,TRUE,TRUE
1491,TRUE,TRUE
152,TRUE,TRUE
1537,TRUE,TRUE
1549,TRUE,TRUE
1556,TRUE,TRUE
157,TRUE,TRUE
1587,TRUE,TRUE
1660,TRUE,TRUE
1677,TRUE,TRUE
1686,TRUE,TRUE
1694,TRUE,TRUE
1706,TRUE,TRUE
1768,TRUE,TRUE
1826,TRUE,TRUE
1837,TRUE,TRUE
1875,TRUE,TRUE
1887,TRUE,TRUE
1893,TRUE,TRUE
1992,TRUE,TRUE
1996,TRUE,TRUE
2011,TRUE,TRUE
2021,TRUE,TRUE
2034,TRUE,TRUE
2076,TRUE,TRUE
2142,TRUE,FALSE
215,TRUE,TRUE
2182,TRUE,TRUE
2205,TRUE,TRUE
223,TRUE,TRUE
2257,TRUE,TRUE
2260,TRUE,TRUE
2276,TRUE,TRUE
2312,TRUE,TRUE
288,TRUE,TRUE
291,TRUE,TRUE
391,TRUE,TRUE
400,TRUE,TRUE
408,TRUE,TRUE
423,FALSE,TRUE
476,TRUE,TRUE
609,TRUE,TRUE
620,TRUE,TRUE
633,TRUE,TRUE
644,TRUE,TRUE
730,TRUE,TRUE
788,TRUE,TRUE
792,TRUE,TRUE
805,TRUE,TRUE
812,TRUE,TRUE
827,TRUE,FALSE
870,TRUE,TRUE
926,TRUE,TRUE
