species,status,note
"Abax parallelepipedus (Piller & Mitterpacher, 1783)",SKIP,insuffisant/degenerate
"Acupalpus meridianus (Linnaeus, 1761)",SKIP,insuffisant/degenerate
"Agonum muelleri (Herbst, 1784)",SKIP,insuffisant/degenerate
"Agonum nigrum Dejean, 1828",SKIP,insuffisant/degenerate
"Amara aenea (De Geer, 1774)",SKIP,insuffisant/degenerate
"Amara convexior Stephens, 1828",SKIP,insuffisant/degenerate
"Amara familiaris (Duftschmid, 1812)",SKIP,insuffisant/degenerate
"Amara lunicollis Schiødte, 1837",SKIP,insuffisant/degenerate
"Amara similata (Gyllenhal, 1810)",SKIP,insuffisant/degenerate
"Anchomenus dorsalis (Pontoppidan, 1763)",SKIP,insuffisant/degenerate
"Anisodactylus binotatus (Fabricius, 1787)",SKIP,insuffisant/degenerate
"Anisodactylus signatus (Panzer, 1796)",SKIP,insuffisant/degenerate
"Asaphidion flavipes (Linnaeus, 1761)",SKIP,insuffisant/degenerate
"Asaphidion Gozis, 1886",SKIP,insuffisant/degenerate
"Asaphidion stierlini (Heyden, 1880)",SKIP,insuffisant/degenerate
"Badister bullatus (Schrank, 1798)",SKIP,insuffisant/degenerate
"Bembidion lampros (Herbst, 1784)",SKIP,insuffisant/degenerate
"Bembidion Latreille, 1802",SKIP,insuffisant/degenerate
"Bembidion lunulatum (Geoffroy, 1785)",SKIP,insuffisant/degenerate
"Bembidion obtusum Audinet-Serville, 1821",SKIP,insuffisant/degenerate
"Bembidion properans (Stephens, 1828)",SKIP,insuffisant/degenerate
"Bembidion quadrimaculatum (Linnaeus, 1761)",SKIP,insuffisant/degenerate
"Brachinus crepitans (Linnaeus, 1758)",SKIP,insuffisant/degenerate
"Brachinus explodens Duftschmid, 1812",SKIP,insuffisant/degenerate
"Brachinus sclopeta (Fabricius, 1792)",SKIP,insuffisant/degenerate
"Calathus fuscipes (Goeze, 1777)",SKIP,insuffisant/degenerate
"Calathus melanocephalus (Linnaeus, 1758)",SKIP,insuffisant/degenerate
"Carabus auratus Linnaeus, 1761",SKIP,insuffisant/degenerate
"Carabus cancellatus Illiger, 1798",SKIP,insuffisant/degenerate
"Carabus nemoralis O.F. Müller, 1764",SKIP,insuffisant/degenerate
"Chlaenius tibialis Dejean, 1826",SKIP,insuffisant/degenerate
"Clivina fossor (Linnaeus, 1758)",SKIP,insuffisant/degenerate
"Demetrias atricapillus (Linnaeus, 1758)",SKIP,insuffisant/degenerate
"Harpalus affinis (Schrank, 1781)",SKIP,insuffisant/degenerate
"Harpalus atratus Latreille, 1804",SKIP,insuffisant/degenerate
"Harpalus cupreus Dejean, 1829",SKIP,insuffisant/degenerate
"Harpalus dimidiatus (Rossi, 1790)",SKIP,insuffisant/degenerate
"Harpalus distinguendus (Duftschmid, 1812)",SKIP,insuffisant/degenerate
"Harpalus honestus (Duftschmid, 1812)",SKIP,insuffisant/degenerate
"Harpalus rubripes (Duftschmid, 1812)",SKIP,insuffisant/degenerate
"Harpalus serripes (Quensel in Schönherr, 1806)",SKIP,insuffisant/degenerate
"Harpalus tardus (Panzer, 1797)",SKIP,insuffisant/degenerate
"Loricera pilicornis (Fabricius, 1775)",SKIP,insuffisant/degenerate
"Microlestes maurus (Sturm, 1827)",SKIP,insuffisant/degenerate
"Microlestes Schmidt-Gödel, 1846",SKIP,insuffisant/degenerate
"Nebria brevicollis (Fabricius, 1792)",SKIP,insuffisant/degenerate
"Nebria salina Fairmaire & Laboulbène, 1854",SKIP,insuffisant/degenerate
"Notiophilus quadripunctatus Dejean, 1826",SKIP,insuffisant/degenerate
"Notiophilus rufipes Curtis, 1829",SKIP,insuffisant/degenerate
"Notiophilus substriatus G.R. Waterhouse, 1833",SKIP,insuffisant/degenerate
"Ophonus ardosiacus (Lutshnik, 1922)",SKIP,insuffisant/degenerate
"Ophonus cribricollis (Dejean, 1829)",SKIP,insuffisant/degenerate
"Ophonus puncticeps Stephens, 1828",SKIP,insuffisant/degenerate
"Paradromius linearis (Olivier, 1795)",SKIP,insuffisant/degenerate
"Parophonus maculicornis (Duftschmid, 1812)",SKIP,insuffisant/degenerate
"Poecilus cupreus (Linnaeus, 1758)",SKIP,insuffisant/degenerate
"Poecilus kugelanni (Panzer, 1797)",SKIP,insuffisant/degenerate
"Poecilus versicolor (Sturm, 1824)",SKIP,insuffisant/degenerate
"Pseudoophonus rufipes (De Geer, 1774)",SKIP,insuffisant/degenerate
"Pterostichus Bonelli, 1810",SKIP,insuffisant/degenerate
"Pterostichus melanarius (Illiger, 1798)",SKIP,insuffisant/degenerate
"Pterostichus strenuus (Panzer, 1796)",SKIP,insuffisant/degenerate
"Stenolophus teutonus (Schrank, 1781)",SKIP,insuffisant/degenerate
"Syntomus foveatus (Geoffroy in Fourcroy, 1785)",SKIP,insuffisant/degenerate
"Syntomus obscuroguttatus (Duftschmid, 1812)",SKIP,insuffisant/degenerate
"Tachys bistriatus (Duftschmid, 1812)",SKIP,insuffisant/degenerate
"Trechus quadristriatus (Schrank, 1781)",SKIP,insuffisant/degenerate
